행정구역,2022년12월_계_총인구수,2022년12월_계_연령구간인구수,2022년12월_계_0~9세,2022년12월_계_10~19세,2022년12월_계_20~29세,2022년12월_계_30~39세,2022년12월_계_40~49세,2022년12월_계_50~59세,2022년12월_계_60~69세,2022년12월_계_70~79세,2022년12월_계_80~89세,2022년12월_계_90~99세,2022년12월_계_100세 이상
서울특별시  (1100000000),"9,428,372","9,428,372","545,317","749,118","1,389,483","1,425,808","1,449,706","1,492,802","1,297,787","713,496","321,209","42,354","1,292"
서울특별시 종로구 (1111000000),"141,379","141,379","6,403","10,087","22,284","19,342","19,944","24,216","20,301","11,404","6,454",915,29
서울특별시 종로구 청운효자동(1111051500),"11,628","11,628",679,"1,107","1,449","1,564","2,018","1,888","1,397",915,539,69,3
서울특별시 종로구 사직동(1111053000),"9,087","9,087",513,665,"1,084","1,438","1,415","1,487","1,207",689,495,92,2
서울특별시 종로구 삼청동(1111054000),"2,331","2,331",85,172,279,295,333,363,391,236,150,25,2
서울특별시 종로구 부암동(1111055000),"9,241","9,241",421,854,"1,164","1,164","1,433","1,659","1,329",723,418,72,4
서울특별시 종로구 평창동(1111056000),"17,663","17,663","1,084","1,529","2,190","2,108","2,559","3,187","2,728","1,338",795,135,10
서울특별시 종로구 무악동(1111057000),"8,023","8,023",570,943,853,853,"1,310","1,427","1,066",583,373,42,3
서울특별시 종로구 교남동(1111058000),"9,816","9,816",767,799,"1,128","1,482","1,731","1,621","1,176",701,376,35,0
서울특별시 종로구 가회동(1111060000),"3,941","3,941",168,297,445,511,655,681,572,376,203,33,0
서울특별시 종로구 종로1.2.3.4가동(1111061500),"6,728","6,728",169,200,970,947,867,"1,148","1,314",712,356,43,2
서울특별시 종로구 종로5.6가동(1111063000),"5,300","5,300",138,211,"1,189",808,551,901,767,475,232,28,0
서울특별시 종로구 이화동(1111064000),"7,101","7,101",198,339,"1,573","1,224",860,"1,045",922,562,335,43,0
서울특별시 종로구 혜화동(1111065000),"16,143","16,143",555,"1,277","4,383","1,998","2,015","2,316","1,668","1,120",703,106,2
서울특별시 종로구 창신제1동(1111067000),"4,646","4,646",113,193,588,578,517,920,983,479,250,25,0
서울특별시 종로구 창신제2동(1111068000),"7,706","7,706",182,370,"1,048",899,879,"1,723","1,425",772,360,48,0
서울특별시 종로구 창신제3동(1111069000),"6,449","6,449",326,457,858,906,831,"1,206","1,058",485,282,40,0
서울특별시 종로구 숭인제1동(1111070000),"5,769","5,769",210,354,728,794,843,"1,093",927,523,258,38,1
서울특별시 종로구 숭인제2동(1111071000),"9,807","9,807",225,320,"2,355","1,773","1,127","1,551","1,371",715,329,41,0
서울특별시 중구 (1114000000),"120,437","120,437","5,964","6,322","17,619","19,861","16,768","19,396","18,031","10,261","5,364",823,28
서울특별시 중구 소공동(1114052000),"2,244","2,244",160,124,253,488,511,323,237,101,40,7,0
서울특별시 중구 회현동(1114054000),"4,544","4,544",175,217,452,539,589,806,963,510,242,48,3
서울특별시 중구 명동(1114055000),"2,739","2,739",78,136,336,379,387,450,497,294,154,28,0
서울특별시 중구 필동(1114057000),"3,973","3,973",164,187,710,694,456,584,613,313,207,44,1
서울특별시 중구 장충동(1114058000),"4,571","4,571",139,283,"1,217",673,532,601,549,342,204,31,0
서울특별시 중구 광희동(1114059000),"5,202","5,202",113,191,"1,071",958,574,742,813,496,219,25,0
서울특별시 중구 을지로동(1114060500),"1,661","1,661",43,39,231,312,163,243,352,191,77,10,0
서울특별시 중구 신당동(1114061500),"7,618","7,618",252,250,"1,385","1,326","1,015","1,270","1,118",650,297,55,0
서울특별시 중구 다산동(1114062500),"13,474","13,474",470,735,"2,204","2,173","1,781","2,190","2,023","1,183",632,80,3
서울특별시 중구 약수동(1114063500),"16,395","16,395",926,906,"1,877","2,274","2,322","2,679","2,698","1,629",928,152,4
서울특별시 중구 청구동(1114064500),"13,199","13,199",648,788,"1,727","2,129","1,727","2,193","2,071","1,132",687,93,4
서울특별시 중구 신당제5동(1114065000),"10,180","10,180",511,506,"1,570","1,719","1,431","1,800","1,404",795,388,52,4
서울특별시 중구 동화동(1114066500),"10,024","10,024",625,785,"1,193","1,273","1,436","1,860","1,536",791,459,64,2
서울특별시 중구 황학동(1114067000),"12,604","12,604",697,454,"2,121","2,877","1,816","1,780","1,536",887,369,65,2
서울특별시 중구 중림동(1114068000),"12,009","12,009",963,721,"1,272","2,047","2,028","1,875","1,621",947,461,69,5
서울특별시 용산구 (1117000000),"218,650","218,650","11,973","14,241","31,803","38,047","32,512","35,260","29,154","15,484","8,810","1,326",40
서울특별시 용산구 후암동(1117051000),"16,321","16,321",791,"1,116","2,336","2,765","2,419","2,662","2,244","1,228",658,94,8
서울특별시 용산구 용산2가동(1117052000),"9,016","9,016",282,445,"1,356","1,629","1,276","1,275","1,347",879,456,71,0
서울특별시 용산구 남영동(1117053000),"7,100","7,100",147,239,875,"1,031",926,"1,553","1,401",611,286,28,3
서울특별시 용산구 청파동(1117055500),"19,094","19,094",554,"1,014","4,151","3,331","2,456","2,989","2,448","1,360",707,82,2
서울특별시 용산구 원효로제1동(1117056000),"17,144","17,144","1,195",945,"2,935","4,102","2,690","2,234","1,771",806,399,64,3
서울특별시 용산구 원효로제2동(1117057000),"13,678","13,678",794,"1,082","1,884","2,237","2,043","2,249","1,819",965,528,72,5
서울특별시 용산구 효창동(1117058000),"10,743","10,743",813,714,"1,585","2,004","1,632","1,723","1,185",664,368,54,1
서울특별시 용산구 용문동(1117059000),"11,553","11,553",657,683,"1,686","1,938","1,623","1,899","1,578",964,463,60,2
서울특별시 용산구 한강로동(1117062500),"21,243","21,243","1,250",994,"3,384","4,887","2,832","3,273","2,613","1,211",690,104,5
