,rank,img,name,booking_rate
0,1,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87045/87045_320.jpg,범죄도시3,76.1
1,2,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000086/86849/86849_320.jpg,인어공주,3.1
2,3,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87035/87035_320.jpg,남은 인생 10년,3.0
3,4,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87038/87038_320.jpg,SUGA Agust D TOUR D-DAY in JAPAN LIVE VIEWING,2.7
4,5,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000086/86996/86996_320.jpg,분노의 질주-라이드 오어 다이,2.6
5,6,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000086/86883/86883_320.jpg,가디언즈 오브 갤럭시-Volume 3,2.3
6,7,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000086/86991/86991_320.jpg,극장판 포켓몬스터 DP-아르세우스 초극의 시공으로,1.8
7,8,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000086/86815/86815_320.jpg,스즈메의 문단속,1.2
8,9,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87039/87039_320.jpg,메이플스토리 2023 SUMMER SHOWCASE NEW AGE,1.0
9,10,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87042/87042_320.jpg,라이드 온,0.9
10,11,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87059/87059_320.jpg,탑건,0.5
11,12,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87003/87003_320.jpg,메리 마이 데드 바디,0.5
12,13,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000086/86989/86989_320.jpg,드림팰리스,0.4
13,14,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87063/87063_320.jpg,매그놀리아,0.3
14,15,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87062/87062_320.jpg,뱀파이어와의 인터뷰,0.3
15,16,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000086/86891/86891_320.jpg,말없는 소녀,0.3
16,17,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87061/87061_320.jpg,어 퓨 굿 맨,0.3
17,18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000086/86992/86992_320.jpg,스프린터,0.3
18,19,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87065/87065_320.jpg,바닐라 스카이,0.3
19,20,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000086/86825/86825_320.jpg,아기공룡둘리-얼음별대모험 리마스터링,0.2
