,Theater,Link,city
0,CGV강남,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0056&date=20230530,서울
1,CGV강변,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0001&date=20230530,서울
2,CGV건대입구,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0229&date=20230530,서울
3,CGV구로,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0010&date=20230530,서울
4,CGV대학로,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0063&date=20230530,서울
5,CGV동대문,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0252&date=20230530,서울
6,CGV등촌,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0230&date=20230530,서울
7,CGV명동,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0009&date=20230530,서울
8,CGV명동역 씨네라이브러리,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0105&date=20230530,서울
9,CGV미아,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0057&date=20230530,서울
10,CGV방학,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0288&date=20230530,서울
11,CGV불광,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0030&date=20230530,서울
12,CGV상봉,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0046&date=20230530,서울
13,CGV성신여대입구,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0300&date=20230530,서울
14,CGV송파,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0088&date=20230530,서울
15,CGV수유,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0276&date=20230530,서울
16,CGV신촌아트레온,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0150&date=20230530,서울
17,CGV압구정,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0040&date=20230530,서울
18,CGV여의도,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0112&date=20230530,서울
19,CGV연남,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0292&date=20230530,서울
20,CGV영등포,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0059&date=20230530,서울
21,CGV왕십리,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0074&date=20230530,서울
22,CGV용산아이파크몰,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0013&date=20230530,서울
23,CGV중계,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0131&date=20230530,서울
24,CGV천호,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0199&date=20230530,서울
25,CGV청담씨네시티,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0107&date=20230530,서울
26,CGV피카디리1958,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0223&date=20230530,서울
27,CGV하계,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0164&date=20230530,서울
28,CGV홍대,http://www.cgv.co.kr/theaters/?areacode=01&theaterCode=0191&date=20230530,서울
29,CINE de CHEF 압구정,http://www.cgv.co.kr/theaters/special/show-times.aspx?regioncode=103&theatercode=0040,서울
30,CINE de CHEF 용산아이파크몰,http://www.cgv.co.kr/theaters/special/show-times.aspx?regioncode=103&theatercode=0013,서울
31,CGV경기광주,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0260&date=20230530,경기
32,CGV고양백석,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0270&date=20230530,경기
33,CGV고양행신,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0255&date=20230530,경기
34,CGV광교,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0257&date=20230530,경기
35,CGV광교상현,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0266&date=20230530,경기
36,CGV광명역,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0348&date=20230530,경기
37,CGV구리,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0232&date=20230530,경기
38,CGV기흥,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0344&date=20230530,경기
39,CGV김포,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0278&date=20230530,경기
40,CGV김포운양,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0188&date=20230530,경기
41,CGV김포한강,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0298&date=20230530,경기
42,CGV남양주 화도,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0329&date=20230530,경기
43,CGV다산,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0351&date=20230530,경기
44,CGV동백,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0124&date=20230530,경기
45,CGV동수원,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0041&date=20230530,경기
46,CGV동탄,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0106&date=20230530,경기
47,CGV동탄그랑파사쥬,http://www.cgv.co.kr/theaters/?areacode=02&theaterCode=0359&date=20230530,경기
