"행정구역","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년11월_총인구수","2022년11월_세대수","2022년11월_세대당 인구","2022년12월_총인구수","2022년12월_세대수","2022년12월_세대당 인구"
"서울특별시  (1100000000)","9,443,722","4,450,389","          2.12","9,436,836","4,448,660","          2.12","9,428,372","4,446,296","          2.12"
"서울특별시 종로구 (1111000000)","141,861","72,758","          1.95","141,650","72,666","          1.95","141,379","72,524","          1.95"
"서울특별시 종로구 청운효자동(1111051500)","11,700","5,150","          2.27","11,677","5,148","          2.27","11,628","5,129","          2.27"
"서울특별시 종로구 사직동(1111053000)","9,128","4,591","          1.99","9,106","4,590","          1.98","9,087","4,570","          1.99"
"서울특별시 종로구 삼청동(1111054000)","2,343","1,157","          2.03","2,338","1,153","          2.03","2,331","1,148","          2.03"
"서울특별시 종로구 부암동(1111055000)","9,283","4,170","          2.23","9,278","4,164","          2.23","9,241","4,144","          2.23"
"서울특별시 종로구 평창동(1111056000)","17,726","7,302","          2.43","17,662","7,274","          2.43","17,663","7,270","          2.43"
"서울특별시 종로구 무악동(1111057000)","8,038","3,025","          2.66","8,035","3,020","          2.66","8,023","3,017","          2.66"
"서울특별시 종로구 교남동(1111058000)","9,861","4,398","          2.24","9,844","4,387","          2.24","9,816","4,386","          2.24"
"서울특별시 종로구 가회동(1111060000)","3,957","1,939","          2.04","3,952","1,934","          2.04","3,941","1,931","          2.04"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,738","4,924","          1.37","6,747","4,933","          1.37","6,728","4,926","          1.37"
"서울특별시 종로구 종로5.6가동(1111063000)","5,240","3,493","          1.50","5,282","3,512","          1.50","5,300","3,511","          1.51"
"서울특별시 종로구 이화동(1111064000)","7,109","4,301","          1.65","7,108","4,299","          1.65","7,101","4,301","          1.65"
"서울특별시 종로구 혜화동(1111065000)","16,242","9,272","          1.75","16,181","9,226","          1.75","16,143","9,195","          1.76"
"서울특별시 종로구 창신제1동(1111067000)","4,673","2,726","          1.71","4,660","2,719","          1.71","4,646","2,706","          1.72"
"서울특별시 종로구 창신제2동(1111068000)","7,726","3,998","          1.93","7,717","3,999","          1.93","7,706","3,995","          1.93"
"서울특별시 종로구 창신제3동(1111069000)","6,458","2,780","          2.32","6,457","2,775","          2.33","6,449","2,777","          2.32"
"서울특별시 종로구 숭인제1동(1111070000)","5,793","2,970","          1.95","5,774","2,972","          1.94","5,769","2,970","          1.94"
"서울특별시 종로구 숭인제2동(1111071000)","9,846","6,562","          1.50","9,832","6,561","          1.50","9,807","6,548","          1.50"
"서울특별시 중구 (1114000000)","120,648","63,206","          1.91","120,545","63,167","          1.91","120,437","63,139","          1.91"
"서울특별시 중구 소공동(1114052000)","2,244","1,299","          1.73","2,245","1,292","          1.74","2,244","1,286","          1.74"
"서울특별시 중구 회현동(1114054000)","4,556","2,555","          1.78","4,520","2,546","          1.78","4,544","2,561","          1.77"
"서울특별시 중구 명동(1114055000)","2,807","1,499","          1.87","2,774","1,481","          1.87","2,739","1,457","          1.88"
"서울특별시 중구 필동(1114057000)","3,982","2,458","          1.62","3,988","2,458","          1.62","3,973","2,431","          1.63"
"서울특별시 중구 장충동(1114058000)","4,584","2,843","          1.61","4,601","2,855","          1.61","4,571","2,829","          1.62"
"서울특별시 중구 광희동(1114059000)","5,196","3,404","          1.53","5,216","3,414","          1.53","5,202","3,424","          1.52"
"서울특별시 중구 을지로동(1114060500)","1,658","1,294","          1.28","1,644","1,284","          1.28","1,661","1,297","          1.28"
"서울특별시 중구 신당동(1114061500)","7,654","4,816","          1.59","7,608","4,797","          1.59","7,618","4,808","          1.58"
"서울특별시 중구 다산동(1114062500)","13,492","6,809","          1.98","13,471","6,814","          1.98","13,474","6,821","          1.98"
"서울특별시 중구 약수동(1114063500)","16,412","7,789","          2.11","16,419","7,780","          2.11","16,395","7,779","          2.11"
"서울특별시 중구 청구동(1114064500)","13,256","6,214","          2.13","13,222","6,211","          2.13","13,199","6,205","          2.13"
"서울특별시 중구 신당제5동(1114065000)","10,161","5,317","          1.91","10,181","5,331","          1.91","10,180","5,334","          1.91"
"서울특별시 중구 동화동(1114066500)","10,048","4,005","          2.51","10,044","3,994","          2.51","10,024","3,989","          2.51"
"서울특별시 중구 황학동(1114067000)","12,558","7,165","          1.75","12,589","7,181","          1.75","12,604","7,199","          1.75"
"서울특별시 중구 중림동(1114068000)","12,040","5,739","          2.10","12,023","5,729","          2.10","12,009","5,719","          2.10"
"서울특별시 용산구 (1117000000)","219,102","109,936","          1.99","218,945","109,905","          1.99","218,650","109,805","          1.99"
"서울특별시 용산구 후암동(1117051000)","16,382","8,284","          1.98","16,336","8,286","          1.97","16,321","8,281","          1.97"
"서울특별시 용산구 용산2가동(1117052000)","9,117","5,090","          1.79","9,075","5,079","          1.79","9,016","5,057","          1.78"
"서울특별시 용산구 남영동(1117053000)","7,111","5,029","          1.41","7,113","5,021","          1.42","7,100","5,021","          1.41"
"서울특별시 용산구 청파동(1117055500)","19,109","11,081","          1.72","19,087","11,084","          1.72","19,094","11,089","          1.72"
"서울특별시 용산구 원효로제1동(1117056000)","17,070","9,156","          1.86","17,116","9,187","          1.86","17,144","9,212","          1.86"
"서울특별시 용산구 원효로제2동(1117057000)","13,694","6,072","          2.26","13,702","6,094","          2.25","13,678","6,094","          2.24"
"서울특별시 용산구 효창동(1117058000)","10,702","4,679","          2.29","10,738","4,695","          2.29","10,743","4,694","          2.29"
"서울특별시 용산구 용문동(1117059000)","11,562","5,330","          2.17","11,558","5,327","          2.17","11,553","5,320","          2.17"
"서울특별시 용산구 한강로동(1117062500)","21,283","11,418","          1.86","21,266","11,403","          1.86","21,243","11,388","          1.87"
"서울특별시 용산구 이촌제1동(1117063000)","25,083","9,171","          2.74","25,069","9,160","          2.74","25,070","9,152","          2.74"
"서울특별시 용산구 이촌제2동(1117064000)","8,053","3,601","          2.24","8,040","3,598","          2.23","8,027","3,598","          2.23"
"서울특별시 용산구 이태원제1동(1117065000)","6,119","3,474","          1.76","6,123","3,471","          1.76","6,117","3,467","          1.76"
"서울특별시 용산구 이태원제2동(1117066000)","8,768","4,849","          1.81","8,750","4,846","          1.81","8,731","4,837","          1.81"
