"행정구역","2022년12월_계_총인구수","2022년12월_계_연령구간인구수","2022년12월_계_0세","2022년12월_남_총인구수","2022년12월_남_연령구간인구수","2022년12월_남_0세","2022년12월_여_총인구수","2022년12월_여_연령구간인구수","2022년12월_여_0세"
"서울특별시  (1100000000)","9,428,372","40,742","40,742","4,570,048","20,889","20,889","4,858,324","19,853","19,853"
"서울특별시 종로구 (1111000000)","141,379","442","442","68,395","229","229","72,984","213","213"
"서울특별시 종로구 청운효자동(1111051500)","11,628","40","40","5,347","16","16","6,281","24","24"
"서울특별시 종로구 사직동(1111053000)","9,087","23","23","4,038","13","13","5,049","10","10"
"서울특별시 종로구 삼청동(1111054000)","2,331","4","4","1,112","2","2","1,219","2","2"
"서울특별시 종로구 부암동(1111055000)","9,241","20","20","4,382","10","10","4,859","10","10"
"서울특별시 종로구 평창동(1111056000)","17,663","61","61","8,236","35","35","9,427","26","26"
"서울특별시 종로구 무악동(1111057000)","8,023","31","31","3,708","15","15","4,315","16","16"
"서울특별시 종로구 교남동(1111058000)","9,816","53","53","4,528","29","29","5,288","24","24"
"서울특별시 종로구 가회동(1111060000)","3,941","15","15","1,821","8","8","2,120","7","7"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,728","17","17","4,095","13","13","2,633","4","4"
"서울특별시 종로구 종로5.6가동(1111063000)","5,300","12","12","2,797","6","6","2,503","6","6"
"서울특별시 종로구 이화동(1111064000)","7,101","18","18","3,360","5","5","3,741","13","13"
"서울특별시 종로구 혜화동(1111065000)","16,143","38","38","7,746","21","21","8,397","17","17"
"서울특별시 종로구 창신제1동(1111067000)","4,646","9","9","2,465","7","7","2,181","2","2"
"서울특별시 종로구 창신제2동(1111068000)","7,706","15","15","3,962","7","7","3,744","8","8"
"서울특별시 종로구 창신제3동(1111069000)","6,449","36","36","3,177","17","17","3,272","19","19"
"서울특별시 종로구 숭인제1동(1111070000)","5,769","20","20","2,783","11","11","2,986","9","9"
"서울특별시 종로구 숭인제2동(1111071000)","9,807","30","30","4,838","14","14","4,969","16","16"
"서울특별시 중구 (1114000000)","120,437","549","549","58,563","276","276","61,874","273","273"
"서울특별시 중구 소공동(1114052000)","2,244","15","15","1,075","8","8","1,169","7","7"
"서울특별시 중구 회현동(1114054000)","4,544","23","23","2,352","10","10","2,192","13","13"
"서울특별시 중구 명동(1114055000)","2,739","10","10","1,188","6","6","1,551","4","4"
"서울특별시 중구 필동(1114057000)","3,973","14","14","2,064","4","4","1,909","10","10"
"서울특별시 중구 장충동(1114058000)","4,571","10","10","2,406","6","6","2,165","4","4"
"서울특별시 중구 광희동(1114059000)","5,202","9","9","2,627","6","6","2,575","3","3"
"서울특별시 중구 을지로동(1114060500)","1,661","8","8","1,018","5","5","643","3","3"
"서울특별시 중구 신당동(1114061500)","7,618","20","20","3,749","11","11","3,869","9","9"
"서울특별시 중구 다산동(1114062500)","13,474","42","42","6,524","26","26","6,950","16","16"
"서울특별시 중구 약수동(1114063500)","16,395","83","83","7,594","41","41","8,801","42","42"
"서울특별시 중구 청구동(1114064500)","13,199","65","65","6,253","34","34","6,946","31","31"
"서울특별시 중구 신당제5동(1114065000)","10,180","51","51","4,948","18","18","5,232","33","33"
"서울특별시 중구 동화동(1114066500)","10,024","44","44","4,813","17","17","5,211","27","27"
"서울특별시 중구 황학동(1114067000)","12,604","67","67","5,986","34","34","6,618","33","33"
"서울특별시 중구 중림동(1114068000)","12,009","88","88","5,966","50","50","6,043","38","38"
"서울특별시 용산구 (1117000000)","218,650","1,031","1,031","105,087","506","506","113,563","525","525"
"서울특별시 용산구 후암동(1117051000)","16,321","66","66","7,958","31","31","8,363","35","35"
"서울특별시 용산구 용산2가동(1117052000)","9,016","25","25","4,364","9","9","4,652","16","16"
"서울특별시 용산구 남영동(1117053000)","7,100","10","10","4,305","5","5","2,795","5","5"
"서울특별시 용산구 청파동(1117055500)","19,094","55","55","8,916","30","30","10,178","25","25"
"서울특별시 용산구 원효로제1동(1117056000)","17,144","114","114","7,964","66","66","9,180","48","48"
"서울특별시 용산구 원효로제2동(1117057000)","13,678","67","67","6,453","29","29","7,225","38","38"
"서울특별시 용산구 효창동(1117058000)","10,743","53","53","5,109","25","25","5,634","28","28"
"서울특별시 용산구 용문동(1117059000)","11,553","45","45","5,542","28","28","6,011","17","17"
"서울특별시 용산구 한강로동(1117062500)","21,243","149","149","10,086","79","79","11,157","70","70"
"서울특별시 용산구 이촌제1동(1117063000)","25,070","153","153","11,772","74","74","13,298","79","79"
"서울특별시 용산구 이촌제2동(1117064000)","8,027","68","68","3,747","32","32","4,280","36","36"
"서울특별시 용산구 이태원제1동(1117065000)","6,117","23","23","3,023","8","8","3,094","15","15"
"서울특별시 용산구 이태원제2동(1117066000)","8,731","35","35","4,039","11","11","4,692","24","24"
"서울특별시 용산구 한남동(1117068500)","19,508","104","104","9,418","52","52","10,090","52","52"
"서울특별시 용산구 서빙고동(1117069000)","12,590","40","40","6,058","16","16","6,532","24","24"
"서울특별시 용산구 보광동(1117070000)","12,715","24","24","6,333","11","11","6,382","13","13"
"서울특별시 성동구 (1120000000)","281,000","1,626","1,626","136,633","868","868","144,367","758","758"
"서울특별시 성동구 왕십리제2동(1120052000)","16,304","114","114","7,851","51","51","8,453","63","63"
"서울특별시 성동구 왕십리도선동(1120053500)","26,420","137","137","12,454","66","66","13,966","71","71"
"서울특별시 성동구 마장동(1120054000)","22,034","127","127","10,866","64","64","11,168","63","63"
"서울특별시 성동구 사근동(1120055000)","11,981","42","42","6,272","24","24","5,709","18","18"
"서울특별시 성동구 행당제1동(1120056000)","13,676","76","76","6,567","46","46","7,109","30","30"
"서울특별시 성동구 행당제2동(1120057000)","23,056","164","164","10,749","85","85","12,307","79","79"
"서울특별시 성동구 응봉동(1120058000)","15,047","78","78","7,165","43","43","7,882","35","35"
"서울특별시 성동구 금호1가동(1120059000)","15,056","101","101","7,187","60","60","7,869","41","41"
"서울특별시 성동구 금호2.3가동(1120061500)","22,253","150","150","10,635","94","94","11,618","56","56"
"서울특별시 성동구 금호4가동(1120062000)","14,098","102","102","6,674","59","59","7,424","43","43"
"서울특별시 성동구 옥수동(1120064500)","25,585","190","190","11,883","96","96","13,702","94","94"
"서울특별시 성동구 성수1가제1동(1120065000)","16,089","89","89","7,983","46","46","8,106","43","43"
"서울특별시 성동구 성수1가제2동(1120066000)","12,123","72","72","5,937","35","35","6,186","37","37"
"서울특별시 성동구 성수2가제1동(1120067000)","15,256","74","74","7,958","41","41","7,298","33","33"
"서울특별시 성동구 성수2가제3동(1120069000)","10,291","53","53","5,110","23","23","5,181","30","30"
"서울특별시 성동구 송정동(1120072000)","10,081","38","38","5,334","23","23","4,747","15","15"
"서울특별시 성동구 용답동(1120079000)","11,650","19","19","6,008","12","12","5,642","7","7"
"서울특별시 광진구 (1121500000)","337,416","1,198","1,198","162,541","631","631","174,875","567","567"
"서울특별시 광진구 화양동(1121571000)","23,437","35","35","11,141","17","17","12,296","18","18"
"서울특별시 광진구 군자동(1121573000)","19,425","58","58","9,603","28","28","9,822","30","30"
"서울특별시 광진구 중곡제1동(1121574000)","15,299","56","56","7,322","22","22","7,977","34","34"
"서울특별시 광진구 중곡제2동(1121575000)","20,999","67","67","9,903","35","35","11,096","32","32"
"서울특별시 광진구 중곡제3동(1121576000)","15,945","61","61","7,897","29","29","8,048","32","32"
"서울특별시 광진구 중곡제4동(1121577000)","28,035","83","83","13,715","44","44","14,320","39","39"
"서울특별시 광진구 능동(1121578000)","11,180","53","53","5,134","30","30","6,046","23","23"
"서울특별시 광진구 광장동(1121581000)","34,168","89","89","16,524","53","53","17,644","36","36"
"서울특별시 광진구 자양제1동(1121582000)","21,862","66","66","10,646","36","36","11,216","30","30"
"서울특별시 광진구 자양제2동(1121583000)","23,946","122","122","11,612","60","60","12,334","62","62"
"서울특별시 광진구 자양제3동(1121584000)","27,553","143","143","13,166","75","75","14,387","68","68"
"서울특별시 광진구 자양제4동(1121584700)","17,926","58","58","8,915","32","32","9,011","26","26"
"서울특별시 광진구 구의제1동(1121585000)","23,387","83","83","11,143","50","50","12,244","33","33"
"서울특별시 광진구 구의제2동(1121586000)","26,043","76","76","12,511","43","43","13,532","33","33"
