행정구역,2022년12월_계_총인구수,2022년12월_계_연령구간인구수,2022년12월_계_0세,2022년12월_남_총인구수,2022년12월_남_연령구간인구수,2022년12월_남_0세,2022년12월_여_총인구수,2022년12월_여_연령구간인구수,2022년12월_여_0세
서울특별시  (1100000000),9428372 ,40742 ,40742 ,4570048 ,20889 ,20889 ,4858324 ,19853 ,19853 
서울특별시 종로구 (1111000000),141379 ,442 ,442 ,68395 ,229 ,229 ,72984 ,213 ,213 
서울특별시 종로구 청운효자동(1111051500),11628 ,40 ,40 ,5347 ,16 ,16 ,6281 ,24 ,24 
서울특별시 종로구 사직동(1111053000),9087 ,23 ,23 ,4038 ,13 ,13 ,5049 ,10 ,10 
서울특별시 종로구 삼청동(1111054000),2331 ,4 ,4 ,1112 ,2 ,2 ,1219 ,2 ,2 
서울특별시 종로구 부암동(1111055000),9241 ,20 ,20 ,4382 ,10 ,10 ,4859 ,10 ,10 
서울특별시 종로구 평창동(1111056000),17663 ,61 ,61 ,8236 ,35 ,35 ,9427 ,26 ,26 
서울특별시 종로구 무악동(1111057000),8023 ,31 ,31 ,3708 ,15 ,15 ,4315 ,16 ,16 
서울특별시 종로구 교남동(1111058000),9816 ,53 ,53 ,4528 ,29 ,29 ,5288 ,24 ,24 
서울특별시 종로구 가회동(1111060000),3941 ,15 ,15 ,1821 ,8 ,8 ,2120 ,7 ,7 
서울특별시 종로구 종로1.2.3.4가동(1111061500),6728 ,17 ,17 ,4095 ,13 ,13 ,2633 ,4 ,4 
서울특별시 종로구 종로5.6가동(1111063000),5300 ,12 ,12 ,2797 ,6 ,6 ,2503 ,6 ,6 
서울특별시 종로구 이화동(1111064000),7101 ,18 ,18 ,3360 ,5 ,5 ,3741 ,13 ,13 
서울특별시 종로구 혜화동(1111065000),16143 ,38 ,38 ,7746 ,21 ,21 ,8397 ,17 ,17 
서울특별시 종로구 창신제1동(1111067000),4646 ,9 ,9 ,2465 ,7 ,7 ,2181 ,2 ,2 
서울특별시 종로구 창신제2동(1111068000),7706 ,15 ,15 ,3962 ,7 ,7 ,3744 ,8 ,8 
서울특별시 종로구 창신제3동(1111069000),6449 ,36 ,36 ,3177 ,17 ,17 ,3272 ,19 ,19 
서울특별시 종로구 숭인제1동(1111070000),5769 ,20 ,20 ,2783 ,11 ,11 ,2986 ,9 ,9 
서울특별시 종로구 숭인제2동(1111071000),9807 ,30 ,30 ,4838 ,14 ,14 ,4969 ,16 ,16 
서울특별시 중구 (1114000000),120437 ,549 ,549 ,58563 ,276 ,276 ,61874 ,273 ,273 
서울특별시 중구 소공동(1114052000),2244 ,15 ,15 ,1075 ,8 ,8 ,1169 ,7 ,7 
서울특별시 중구 회현동(1114054000),4544 ,23 ,23 ,2352 ,10 ,10 ,2192 ,13 ,13 
서울특별시 중구 명동(1114055000),2739 ,10 ,10 ,1188 ,6 ,6 ,1551 ,4 ,4 
서울특별시 중구 필동(1114057000),3973 ,14 ,14 ,2064 ,4 ,4 ,1909 ,10 ,10 
서울특별시 중구 장충동(1114058000),4571 ,10 ,10 ,2406 ,6 ,6 ,2165 ,4 ,4 
서울특별시 중구 광희동(1114059000),5202 ,9 ,9 ,2627 ,6 ,6 ,2575 ,3 ,3 
서울특별시 중구 을지로동(1114060500),1661 ,8 ,8 ,1018 ,5 ,5 ,643 ,3 ,3 
서울특별시 중구 신당동(1114061500),7618 ,20 ,20 ,3749 ,11 ,11 ,3869 ,9 ,9 
서울특별시 중구 다산동(1114062500),13474 ,42 ,42 ,6524 ,26 ,26 ,6950 ,16 ,16 
서울특별시 중구 약수동(1114063500),16395 ,83 ,83 ,7594 ,41 ,41 ,8801 ,42 ,42 
서울특별시 중구 청구동(1114064500),13199 ,65 ,65 ,6253 ,34 ,34 ,6946 ,31 ,31 
서울특별시 중구 신당제5동(1114065000),10180 ,51 ,51 ,4948 ,18 ,18 ,5232 ,33 ,33 
서울특별시 중구 동화동(1114066500),10024 ,44 ,44 ,4813 ,17 ,17 ,5211 ,27 ,27 
서울특별시 중구 황학동(1114067000),12604 ,67 ,67 ,5986 ,34 ,34 ,6618 ,33 ,33 
서울특별시 중구 중림동(1114068000),12009 ,88 ,88 ,5966 ,50 ,50 ,6043 ,38 ,38 
서울특별시 용산구 (1117000000),218650 ,1031 ,1031 ,105087 ,506 ,506 ,113563 ,525 ,525 
서울특별시 용산구 후암동(1117051000),16321 ,66 ,66 ,7958 ,31 ,31 ,8363 ,35 ,35 
서울특별시 용산구 용산2가동(1117052000),9016 ,25 ,25 ,4364 ,9 ,9 ,4652 ,16 ,16 
서울특별시 용산구 남영동(1117053000),7100 ,10 ,10 ,4305 ,5 ,5 ,2795 ,5 ,5 
서울특별시 용산구 청파동(1117055500),19094 ,55 ,55 ,8916 ,30 ,30 ,10178 ,25 ,25 
서울특별시 용산구 원효로제1동(1117056000),17144 ,114 ,114 ,7964 ,66 ,66 ,9180 ,48 ,48 
서울특별시 용산구 원효로제2동(1117057000),13678 ,67 ,67 ,6453 ,29 ,29 ,7225 ,38 ,38 
서울특별시 용산구 효창동(1117058000),10743 ,53 ,53 ,5109 ,25 ,25 ,5634 ,28 ,28 
서울특별시 용산구 용문동(1117059000),11553 ,45 ,45 ,5542 ,28 ,28 ,6011 ,17 ,17 
서울특별시 용산구 한강로동(1117062500),21243 ,149 ,149 ,10086 ,79 ,79 ,11157 ,70 ,70 
서울특별시 용산구 이촌제1동(1117063000),25070 ,153 ,153 ,11772 ,74 ,74 ,13298 ,79 ,79 
서울특별시 용산구 이촌제2동(1117064000),8027 ,68 ,68 ,3747 ,32 ,32 ,4280 ,36 ,36 
서울특별시 용산구 이태원제1동(1117065000),6117 ,23 ,23 ,3023 ,8 ,8 ,3094 ,15 ,15 
서울특별시 용산구 이태원제2동(1117066000),8731 ,35 ,35 ,4039 ,11 ,11 ,4692 ,24 ,24 
서울특별시 용산구 한남동(1117068500),19508 ,104 ,104 ,9418 ,52 ,52 ,10090 ,52 ,52 
서울특별시 용산구 서빙고동(1117069000),12590 ,40 ,40 ,6058 ,16 ,16 ,6532 ,24 ,24 
서울특별시 용산구 보광동(1117070000),12715 ,24 ,24 ,6333 ,11 ,11 ,6382 ,13 ,13 
서울특별시 성동구 (1120000000),281000 ,1626 ,1626 ,136633 ,868 ,868 ,144367 ,758 ,758 
서울특별시 성동구 왕십리제2동(1120052000),16304 ,114 ,114 ,7851 ,51 ,51 ,8453 ,63 ,63 
서울특별시 성동구 왕십리도선동(1120053500),26420 ,137 ,137 ,12454 ,66 ,66 ,13966 ,71 ,71 
서울특별시 성동구 마장동(1120054000),22034 ,127 ,127 ,10866 ,64 ,64 ,11168 ,63 ,63 
서울특별시 성동구 사근동(1120055000),11981 ,42 ,42 ,6272 ,24 ,24 ,5709 ,18 ,18 
서울특별시 성동구 행당제1동(1120056000),13676 ,76 ,76 ,6567 ,46 ,46 ,7109 ,30 ,30 
서울특별시 성동구 행당제2동(1120057000),23056 ,164 ,164 ,10749 ,85 ,85 ,12307 ,79 ,79 
서울특별시 성동구 응봉동(1120058000),15047 ,78 ,78 ,7165 ,43 ,43 ,7882 ,35 ,35 
서울특별시 성동구 금호1가동(1120059000),15056 ,101 ,101 ,7187 ,60 ,60 ,7869 ,41 ,41 
서울특별시 성동구 금호2.3가동(1120061500),22253 ,150 ,150 ,10635 ,94 ,94 ,11618 ,56 ,56 
서울특별시 성동구 금호4가동(1120062000),14098 ,102 ,102 ,6674 ,59 ,59 ,7424 ,43 ,43 
서울특별시 성동구 옥수동(1120064500),25585 ,190 ,190 ,11883 ,96 ,96 ,13702 ,94 ,94 
서울특별시 성동구 성수1가제1동(1120065000),16089 ,89 ,89 ,7983 ,46 ,46 ,8106 ,43 ,43 
서울특별시 성동구 성수1가제2동(1120066000),12123 ,72 ,72 ,5937 ,35 ,35 ,6186 ,37 ,37 
서울특별시 성동구 성수2가제1동(1120067000),15256 ,74 ,74 ,7958 ,41 ,41 ,7298 ,33 ,33 
서울특별시 성동구 성수2가제3동(1120069000),10291 ,53 ,53 ,5110 ,23 ,23 ,5181 ,30 ,30 
서울특별시 성동구 송정동(1120072000),10081 ,38 ,38 ,5334 ,23 ,23 ,4747 ,15 ,15 
