사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
23-Jan,1호선,150,서울역,1228346,1173888,171270,161413
23-Jan,1호선,151,시청,566559,580516,76126,73149
23-Jan,1호선,152,종각,885821,862251,125085,117231
23-Jan,1호선,153,종로3가,447641,411958,271449,251592
23-Jan,1호선,154,종로5가,428412,424366,217290,209180
23-Jan,1호선,155,동대문,210265,198163,104059,102142
23-Jan,1호선,156,신설동,256664,248625,104780,100582
23-Jan,1호선,157,제기동,221450,215567,266914,289322
23-Jan,1호선,158,청량리(서울시립대입구),309342,305961,242454,243890
23-Jan,1호선,159,동묘앞,118696,125235,129707,132735
23-Jan,2호선,201,시청,585786,558820,49461,45261
23-Jan,2호선,202,을지로입구,1103017,1132715,92071,86397
23-Jan,2호선,203,을지로3가,549488,555415,70676,69456
23-Jan,2호선,204,을지로4가,274018,281698,72790,71775
23-Jan,2호선,205,동대문역사문화공원(DDP),305501,349119,47632,51389
23-Jan,2호선,206,신당,296738,312727,83785,85100
23-Jan,2호선,207,상왕십리,318432,305365,60485,60982
23-Jan,2호선,208,왕십리(성동구청),379698,338425,46265,40303
23-Jan,2호선,209,한양대,187650,198011,11297,11818
23-Jan,2호선,210,뚝섬,535807,572051,50135,50808
23-Jan,2호선,211,성수,937726,1024575,93876,95163
23-Jan,2호선,212,건대입구,936471,1011543,80990,84397
23-Jan,2호선,213,구의(광진구청),548178,534712,94243,95644
23-Jan,2호선,214,강변(동서울터미널),789594,748549,101350,97511
23-Jan,2호선,215,잠실나루,300853,288717,76060,75729
23-Jan,2호선,216,잠실(송파구청),1953738,1927046,178541,170514
23-Jan,2호선,217,잠실새내,504396,506535,99417,98845
23-Jan,2호선,218,종합운동장,159884,176045,37774,39430
23-Jan,2호선,219,삼성(무역센터),1300392,1303276,105771,97366
23-Jan,2호선,220,선릉,1235356,1092153,187583,164282
23-Jan,2호선,221,역삼,1198133,1356184,131686,133769
23-Jan,2호선,222,강남,2075004,2017884,141570,123640
23-Jan,2호선,223,교대(법원.검찰청),714309,808294,135251,152597
23-Jan,2호선,224,서초,502721,472536,74895,73616
23-Jan,2호선,225,방배,349847,365322,66403,66086
23-Jan,2호선,226,사당,882736,996504,174525,167694
23-Jan,2호선,227,낙성대(강감찬),645257,620515,94897,95584
23-Jan,2호선,228,서울대입구(관악구청),1107910,1091693,160667,153152
23-Jan,2호선,229,봉천,514001,473732,131862,132541
23-Jan,2호선,230,신림,1385366,1338211,176605,175244
23-Jan,2호선,231,신대방,579885,555518,109609,111808
23-Jan,2호선,232,구로디지털단지,1388509,1379298,165858,167583
23-Jan,2호선,233,대림(구로구청),544821,557846,113689,117364
23-Jan,2호선,234,신도림,1157537,1149404,184270,174082
23-Jan,2호선,235,문래,488335,504590,74951,74902
23-Jan,2호선,236,영등포구청,478179,493349,87977,87715
23-Jan,2호선,237,당산,417737,485977,50411,55616
23-Jan,2호선,238,합정,830337,909139,60806,60791
23-Jan,2호선,239,홍대입구,1796107,1894987,84934,81345
23-Jan,2호선,240,신촌,877238,895999,108231,105765
23-Jan,2호선,241,이대,327818,350968,42408,44365
23-Jan,2호선,242,아현,219601,205442,58652,57642
23-Jan,2호선,243,충정로(경기대입구),214810,228828,42578,42919
23-Jan,2호선,244,용답,59974,58629,14973,15093
23-Jan,2호선,245,신답,35749,39751,8799,9316
23-Jan,2호선,246,신설동,71075,71336,27699,29726
23-Jan,2호선,247,도림천,27314,28222,7049,7837
23-Jan,2호선,248,양천구청,138455,144857,43417,44312
23-Jan,2호선,249,신정네거리,213140,219865,62871,65091
23-Jan,2호선,250,용두(동대문구청),44381,43181,21372,22298
23-Jan,3호선,309,지축,132458,127892,26440,25514
23-Jan,3호선,310,구파발,452949,441453,104105,100445
23-Jan,3호선,311,연신내,716907,687002,223042,216229
23-Jan,3호선,312,불광,307536,328524,122508,135163
23-Jan,3호선,313,녹번,341307,300423,69288,68208
23-Jan,3호선,314,홍제,341173,321125,125796,124281
23-Jan,3호선,315,무악재,85211,81036,27962,29815
23-Jan,3호선,316,독립문,129390,133205,57849,57708
23-Jan,3호선,317,경복궁(정부서울청사),500501,508054,74203,72919
23-Jan,3호선,318,안국,552027,573236,83113,86675
23-Jan,3호선,319,종로3가,206893,253439,52449,57975
23-Jan,3호선,320,을지로3가,241101,248071,46009,43592
23-Jan,3호선,321,충무로,31,0,2,0
23-Jan,3호선,322,동대입구,194097,208284,31791,35563
23-Jan,3호선,323,약수,269907,264031,73442,68802
23-Jan,3호선,324,금호,167310,151764,47820,46727
23-Jan,3호선,325,옥수,184617,191824,51510,52271
23-Jan,3호선,326,압구정,756501,827702,119947,118498
23-Jan,3호선,327,신사,734519,764278,61227,59796
23-Jan,3호선,328,잠원,97529,94409,26574,25514
23-Jan,3호선,329,고속터미널,1203551,1165844,170770,162656
23-Jan,3호선,330,교대(법원.검찰청),308104,202557,62822,38580
23-Jan,3호선,331,남부터미널(예술의전당),718979,726606,106570,106824
23-Jan,3호선,332,양재(서초구청),829877,913194,128947,129282
23-Jan,3호선,333,매봉,260266,251223,56767,52856
23-Jan,3호선,334,도곡,108238,110052,21404,19681
23-Jan,3호선,335,대치,276705,267525,60733,58792
23-Jan,3호선,336,학여울,41762,42835,13573,13416
23-Jan,3호선,337,대청,209106,197938,53520,51487
23-Jan,3호선,338,일원,212661,203404,59696,59278
23-Jan,3호선,339,수서,395384,400340,98928,96997
23-Jan,3호선,340,가락시장,173656,171117,70482,69200
23-Jan,3호선,341,경찰병원,155794,155406,38815,40178
23-Jan,3호선,342,오금,137678,124755,26794,25771
23-Jan,4호선,409,당고개,180665,156778,64805,63922
23-Jan,4호선,410,상계,398124,365675,105354,103448
23-Jan,4호선,411,노원,432972,504043,81829,80839
23-Jan,4호선,412,창동,496599,528390,182871,187953
23-Jan,4호선,413,쌍문,629762,572818,150720,148435
23-Jan,4호선,414,수유(강북구청),749472,759691,169496,169869
23-Jan,4호선,415,미아(서울사이버대학),293435,277083,100614,102508
23-Jan,4호선,416,미아사거리,563364,551470,161319,160460
23-Jan,4호선,417,길음,443709,427440,104295,105039
23-Jan,4호선,418,성신여대입구(돈암),465000,452038,76053,73743
23-Jan,4호선,419,한성대입구(삼선교),279566,270625,63941,63034
23-Jan,4호선,420,혜화,834617,839342,116577,114809
23-Jan,4호선,421,동대문,354229,373941,119403,117187
23-Jan,4호선,422,동대문역사문화공원(DDP),408883,358524,52522,47259
23-Jan,4호선,423,충무로,557608,586968,101469,102937
23-Jan,4호선,424,명동,627182,669245,60917,62228
23-Jan,4호선,425,회현(남대문시장),480748,504065,145966,145510
23-Jan,4호선,426,서울역,274069,501255,34313,43729
23-Jan,4호선,427,숙대입구(갈월),304793,297155,48224,44871
23-Jan,4호선,428,삼각지,135996,158263,21541,22232
23-Jan,4호선,429,신용산,451080,472074,46615,47253
23-Jan,4호선,430,이촌(국립중앙박물관),219297,237241,43534,45414
23-Jan,4호선,431,동작(현충원),21371,24540,10783,11050
23-Jan,4호선,432,총신대입구(이수),372829,413536,133999,140403
23-Jan,4호선,433,사당,634816,540587,85543,85640
23-Jan,4호선,434,남태령,28366,23191,7245,6756
23-Jan,경부선,1001,서울역,254560,74191,12036,2710
23-Jan,경부선,1002,남영,213159,220396,33819,34519
23-Jan,경부선,1003,용산,1093126,1084721,114280,112197
23-Jan,경부선,1004,노량진,202264,211463,39758,38403
23-Jan,경부선,1005,대방,227504,249586,50818,51731
23-Jan,경부선,1006,영등포,955183,982701,227882,227493
23-Jan,경부선,1007,신도림,76314,79513,20662,24101
23-Jan,경부선,1032,신길,195365,163854,38590,35941
23-Jan,경부선,1701,구로,389626,402319,86669,83940
23-Jan,경부선,1702,가산디지털단지,399500,475941,30596,34754
23-Jan,경부선,1703,금천구청,230210,229791,69548,70807
23-Jan,경부선,1704,석수,196891,178042,42209,40379
23-Jan,경부선,1705,관악,150859,142482,47231,45644
23-Jan,경부선,1706,안양,476749,471870,105218,109159
23-Jan,경부선,1707,명학,186342,182047,37274,36512
23-Jan,경부선,1708,금정,626754,638634,107848,109006
23-Jan,경부선,1709,군포,161998,157019,31338,30832
23-Jan,경부선,1710,의왕,192826,190622,36917,36644
23-Jan,경부선,1711,성균관대,326460,325604,48491,48787
23-Jan,경부선,1712,화서,176264,169287,37061,36466
23-Jan,경부선,1713,수원,930458,987423,125626,128894
23-Jan,경부선,1714,독산,400500,410265,59456,60799
23-Jan,경부선,1715,세류,73737,67024,13740,13367
23-Jan,경부선,1716,병점,332657,331517,58809,58610
23-Jan,경부선,1717,세마,64869,61270,13094,12360
23-Jan,경부선,1718,오산대,78713,73233,13900,13070
23-Jan,경부선,1719,오산,241457,241596,41682,42479
23-Jan,경부선,1720,진위,38686,32988,8299,7974
23-Jan,경부선,1721,송탄,111649,112988,18753,18486
23-Jan,경부선,1722,서정리,196703,185213,29005,28085
23-Jan,경부선,1723,평택지제,112813,109037,11218,10914
23-Jan,경부선,1724,평택,310816,312459,56241,54884
23-Jan,경부선,1725,성환,81440,80536,17035,16780
23-Jan,경부선,1726,직산,20239,19974,4205,4086
23-Jan,경부선,1727,두정,145293,148750,21122,21321
23-Jan,경부선,1728,천안,127545,132648,44775,44986
23-Jan,경부선,1729,당정,131410,124397,25525,24389
23-Jan,경부선,1749,서동탄,30951,27488,6322,5984
23-Jan,경부선,1750,광명,97037,79194,8533,8031
23-Jan,경인선,1801,개봉,443733,427766,136091,140853
23-Jan,경인선,1802,오류동,229355,209495,80549,78992
23-Jan,경인선,1803,역곡,567699,559904,133959,138435
23-Jan,경인선,1804,부천,697838,701842,187598,189720
23-Jan,경인선,1805,송내,590484,580199,105004,103963
23-Jan,경인선,1806,부평,709981,762584,127569,130476
23-Jan,경인선,1807,백운,127859,123066,49017,49213
23-Jan,경인선,1808,동암,342960,339479,89712,91102
23-Jan,경인선,1809,주안,426601,385110,79668,71618
23-Jan,경인선,1810,제물포,211230,199516,55705,55563
23-Jan,경인선,1811,동인천,273551,260302,102032,98956
23-Jan,경인선,1812,인천,72001,52290,26799,23867
23-Jan,경인선,1813,구일,125059,123903,37082,36811
23-Jan,경인선,1814,소사,159953,156728,53914,53683
23-Jan,경인선,1815,부개,171518,156164,58135,56894
23-Jan,경인선,1816,간석,115035,108140,38210,36588
23-Jan,경인선,1817,도원,51788,50615,25955,27121
23-Jan,경인선,1821,온수(성공회대입구),125029,116859,43340,41632
23-Jan,경인선,1822,중동,182490,167439,62075,60767
23-Jan,경인선,1823,도화,74065,66312,34345,33102
23-Jan,경원선,1008,이촌(국립중앙박물관),77936,59440,25755,21857
23-Jan,경원선,1009,서빙고,41129,39140,15090,14208
23-Jan,경원선,1010,한남,79816,77061,25257,23599
23-Jan,경원선,1011,옥수,1507,1024,133,78
23-Jan,경원선,1012,응봉,34359,28327,14740,13068
23-Jan,경원선,1013,왕십리(성동구청),362604,396358,59624,62983
23-Jan,경원선,1014,청량리(서울시립대입구),348807,346245,129399,134229
23-Jan,경원선,1016,외대앞,169849,165398,38247,40332
23-Jan,경원선,1017,신이문,163049,145602,61150,58621
23-Jan,경원선,1018,석계,156624,177624,52945,57206
23-Jan,경원선,1019,광운대,151512,145888,46901,46873
23-Jan,경원선,1020,월계,113839,105892,52866,50891
23-Jan,경원선,1021,녹천,87585,71882,31230,28433
23-Jan,경원선,1022,창동,17,0,0,0
23-Jan,경원선,1901,방학,167826,162274,95054,93465
23-Jan,경원선,1902,도봉,94999,88428,61392,61108
23-Jan,경원선,1903,도봉산,115343,61371,87247,66069
23-Jan,경원선,1904,망월사,136012,136827,60680,62123
23-Jan,경원선,1905,회룡,205782,202063,123119,122588
23-Jan,경원선,1906,의정부,428594,443655,99622,101582
23-Jan,경원선,1907,가능,123226,116999,49452,48872
23-Jan,경원선,1908,녹양,87502,82155,31807,30212
23-Jan,경원선,1909,양주,151032,141373,45867,43876
23-Jan,경원선,1910,덕계,69318,60818,20077,19019
23-Jan,경원선,1911,덕정,115692,109023,29193,29426
23-Jan,경원선,1912,지행,137890,135620,37930,37726
23-Jan,경원선,1913,동두천중앙,52473,50770,29249,29118
23-Jan,경원선,1914,보산,32686,31034,11583,10846
23-Jan,경원선,1915,동두천,36304,40165,19112,20889
23-Jan,경원선,1916,소요산,30778,24115,37631,34793
23-Jan,안산선,1751,산본,342643,374738,89937,91390
23-Jan,안산선,1752,대야미,105477,92827,25935,24347
23-Jan,안산선,1753,반월,87797,83510,26109,25779
23-Jan,안산선,1754,상록수,348514,352986,61056,62362
23-Jan,안산선,1755,한대앞,199628,200223,37023,38321
23-Jan,안산선,1756,중앙,450935,475787,53437,51841
23-Jan,안산선,1757,고잔,203167,193033,31397,29903
23-Jan,안산선,1758,초지,112948,111830,14579,14466
23-Jan,안산선,1759,안산,314971,292103,33472,31627
23-Jan,안산선,1760,신길온천,41254,37345,8082,7840
23-Jan,안산선,1761,정왕,202996,208718,24623,25745
23-Jan,안산선,1762,오이도,190984,188406,28279,27748
23-Jan,안산선,1763,수리산,78295,61006,27247,25256
23-Jan,과천선,1450,선바위,177556,153541,28022,27741
23-Jan,과천선,1451,경마공원,78040,79469,52474,52464
23-Jan,과천선,1452,대공원,50893,52819,26592,27833
23-Jan,과천선,1453,과천,134606,124727,39794,38036
23-Jan,과천선,1454,정부과천청사,232703,240384,46117,46158
23-Jan,과천선,1455,인덕원,548024,562544,100572,103481
23-Jan,과천선,1456,평촌,394959,386591,59658,58916
23-Jan,과천선,1457,범계,621955,622915,96616,94855
